"place_string","address_google","status","lat","long"
"carthage, , in, us","Carthage, MO 64836, USA","OK",-94.3102228,37.176447
"san jose, , ca, us","San Jose, CA, USA","OK",-121.8863286,37.3382082
"houston, , tx, us","Houston, TX, USA","OK",-95.3698028,29.7604267
"owensboro, , ky, us","Owensboro, KY, USA","OK",-87.1111676,37.7719074
"mcdermott, , nv, ","McDermitt, NV 89421, USA","OK",-117.7189974,41.9972968
"watkins glen, , ny, us","Watkins Glen, NY, USA","OK",-76.8732921,42.3806287
"enterprise, , al, us","Enterprise, AL 36330, USA","OK",-85.8552161,31.3151708
"avon lake, , oh, us","Avon Lake, OH 44012, USA","OK",-82.0282001,41.5053178
"soldotna, , ak, us","Soldotna, AK 99669, USA","OK",-151.0583332,60.4877778
"west seneca, , ny, ","West Seneca, NY, USA","OK",-78.7538895,42.8358977
"corpus christi , maliki beach, tx, us","Park Rd 22, Corpus Christi, TX 78418, USA","OK",-97.2991007,27.4241488
"dallas, , tx, us","Dallas, TX, USA","OK",-96.7969879,32.7766642
"sherwood, , or, us","Sherwood, OR 97140, USA","OK",-122.8402749,45.3563261
"middle town, , ca, ","Middletown, CA 95461, USA","OK",-122.6149853,38.7524045
"columbus, , oh, us","Columbus, OH, USA","OK",-82.9987942,39.9611755
"throop, , pa, us","Throop, PA, USA","OK",-75.6118548,41.4514694
"moorestown, , nj, us","Moorestown, NJ 08057, USA","OK",-74.948886,39.9688817
"raleigh, garner, nc, ","Garner, NC, USA","OK",-78.6141709,35.7112642
"spokane, , wa, us","Spokane, WA, USA","OK",-117.4260465,47.6587802
"ottawa , canada, on, ca","Ottawa, ON, Canada","OK",-75.6971931,45.4215296
"newfoundland, , pa, us","Newfoundland, PA 18445, USA","OK",-75.3199035,41.3073102
"diamond bar , on the 57, ca, us","CA-57, Diamond Bar, CA, USA","OK",-117.8111748,34.0288671
"west palm beach, , fl, us","West Palm Beach, FL, USA","OK",-80.0533746,26.7153424
"almont, , mi, us","Almont, MI 48003, USA","OK",-83.0449347,42.9205842
"glencoe, , ok, us","Glencoe, OK 74032, USA","OK",-96.925591,36.2286641
"kaunas , lithuania, , ","Kaunas, Lithuania","OK",23.9035965,54.8985207
"plant city, , fl, us","Plant City, FL, USA","OK",-82.1128641,28.0186323
"stone ridge, , ny, us","Stone Ridge, NY, USA","OK",-74.1524394,41.8408742
"stone ridge, , ny, us","Stone Ridge, NY, USA","OK",-74.1524394,41.8408742
"taunton, , ma, us","Taunton, MA, USA","OK",-71.0897674,41.900101
"clayton, , ga, us","Clayton, GA 30525, USA","OK",-83.4009933,34.8781479
"medford, , or, us","Medford, OR, USA","OK",-122.8755949,42.3265152
"simi valley, , ca, us","Simi Valley, CA, USA","OK",-118.781482,34.2694474
"tipton, , in, us","Tipton, IN 46072, USA","OK",-86.041098,40.2822598
"wichita, rose hill, ks, ","Rose Hill, KS 67133, USA","OK",-97.1350405,37.5583517
"odessa, , tx, us","Odessa, TX, USA","OK",-102.3676431,31.8456816
"gig harbor, , wa, us","Gig Harbor, WA, USA","OK",-122.5801293,47.329264
"round rock, , tx, us","Round Rock, TX, USA","OK",-97.678896,30.5082551
"grimsby , uk, , gb","Grimsby, UK","OK",-0.080784,53.567471
"bowling green, , ky, us","Bowling Green, KY, USA","OK",-86.4808043,36.9685219
"lewiston, , me, us","Lewiston, ME, USA","OK",-70.2147764,44.100351
"corunna, , mi, us","Corunna, MI, USA","OK",-84.117745,42.9819728
"spokane, , wa, us","Spokane, WA, USA","OK",-117.4260465,47.6587802
"moorpark, , ca, us","Moorpark, CA 93021, USA","OK",-118.8820414,34.285558
"avon, , nc, us","Avon, NC 27915, USA","OK",-75.5108445,35.3521855
"huntsville, , al, us","Huntsville, AL, USA","OK",-86.5861037,34.7303688
"seattle, , wa, us","Seattle, WA, USA","OK",-122.3320708,47.6062095
"white river national forest, , ar, ","White River National Wildlife Refuge, 57 S CC Camp Rd, St Charles, AR 72140, USA","OK",-91.1210937,34.3574794
"boise, , id, us","Boise, ID, USA","OK",-116.2023137,43.6150186
"stevensville, , mt, us","Stevensville, MT 59870, USA","OK",-114.0931588,46.5099225
"stevensville, , mt, us","Stevensville, MT 59870, USA","OK",-114.0931588,46.5099225
"temple, , tx, us","Temple, TX, USA","OK",-97.342782,31.0982344
"spanaway, , wa, us","Spanaway, WA, USA","OK",-122.4345661,47.103988
"shoreline, , wa, us","Shoreline, WA, USA","OK",-122.3456972,47.7559659
"amity, , or, us","Amity, OR 97101, USA","OK",-123.2073257,45.1156724
"milwaukee, , wi, us","Milwaukee, WI, USA","OK",-87.9064736,43.0389025
"montesano, , wa, us","Montesano, WA 98563, USA","OK",-123.6008405,46.9794895
"tumwater, , wa, us","Tumwater, WA, USA","OK",-122.9093063,47.0073187
"portland , 40 mi. west of, or, us","Portland, OR, USA","OK",-122.6750261,45.5051064
"kingston, , wa, us","Kingston, WA, USA","OK",-122.4981921,47.7987072
"lewistown, , il, us","Lewistown, IL 61542, USA","OK",-90.1548421,40.3930973
"allegan, , mi, us","Allegan, MI 49010, USA","OK",-85.8553031,42.5291989
"louisville, , ky, us","Louisville, KY, USA","OK",-85.7584557,38.2526647
"lansing, , mi, us","Lansing, MI, USA","OK",-84.5555347,42.732535
"granite, east st. louis, il, ","915 Fairway Park Dr, Madison, IL 62060, USA","OK",-90.148883,38.659827
"easley, , sc, us","Easley, SC, USA","OK",-82.6015206,34.829838
"scunthorpe , uk, , gb","Scunthorpe, UK","OK",-0.654413,53.588646
"ridgefield, , ct, us","Ridgefield, CT 06877, USA","OK",-73.4975412,41.2840635
"westbury, , ny, us","Westbury, NY, USA","OK",-73.5876273,40.7556561
"kenosha, , wi, us","Kenosha, WI, USA","OK",-87.8211854,42.5847425
"west branch, , ia, ","West Branch, IA 52358, USA","OK",-91.3465521,41.6714086
"newport , uk, , gb","Newport, UK","OK",-2.997664,51.584151
"greenville, , nc, us","Greenville, NC, USA","OK",-77.3663538,35.612661
"cocoa beach, , fl, us","Cocoa Beach, FL 32931, USA","OK",-80.6075513,28.3200067
"terrell, , tx, us","Terrell, TX, USA","OK",-96.2752569,32.7359626
"revelstoke area , canada, bc, ","Revelstoke, BC, Canada","OK",-118.195672,50.998115
"chelsea, , mi, us","Chelsea, MI 48118, USA","OK",-84.0205029,42.3180919
"albany, , ny, us","Albany, NY, USA","OK",-73.7562317,42.6525793
"albany, , ny, us","Albany, NY, USA","OK",-73.7562317,42.6525793
"curlew, , wa, us","Curlew, WA, USA","OK",-118.5995124,48.8835848
"truckee, , ca, us","Truckee, CA 96161, USA","OK",-120.1832533,39.327962
"altoona, , pa, us","Altoona, PA, USA","OK",-78.3947359,40.5186809
"temecula, , ca, us","Temecula, CA, USA","OK",-117.1483648,33.4936391
"toronto , canada, on, ca","Toronto, ON, Canada","OK",-79.3831843,43.653226
"albany , maybe new york, ny, us","Albany St, New York, NY, USA","OK",-74.0154317,40.7098744
"raton, pueblo , co, ","Raton, NM 87740, USA","OK",-104.4391532,36.9033581
"mercersburg, , pa, us","Mercersburg, PA 17236, USA","OK",-77.9033314,39.8278698
"sydney , nsw&#44 australia, , au",NA,"REQUEST_DENIED",NA,NA
"atlanta, , ga, us","Atlanta, GA, USA","OK",-84.3879824,33.7489954
"austin, , tx, us","Austin, TX, USA","OK",-97.7430608,30.267153
"oklahoma, , ok, ","Oklahoma City, OK, USA","OK",-97.5164276,35.4675602
"memphis, , tn, us","Memphis, TN, USA","OK",-90.0489801,35.1495343
"chicago, , il, us","Chicago, IL, USA","OK",-87.6297982,41.8781136
"ft. campbell, , ky, ","Fort Campbell, KY, USA","OK",-87.4773902,36.6634467
"sebastopol, , ca, us","Sebastopol, CA 95472, USA","OK",-122.8238806,38.4021359
"swannanoa, , nc, us","Swannanoa, NC 28778, USA","OK",-82.3998431,35.5978935
"jacksonville, , fl, us","Jacksonville, FL, USA","OK",-81.655651,30.3321838
"beckley, , wv, us","Beckley, WV 25801, USA","OK",-81.1881557,37.7781702
"beckley, , wv, us","Beckley, WV 25801, USA","OK",-81.1881557,37.7781702
"clayton, , nc, us","Clayton, NC, USA","OK",-78.4563914,35.650711
"edmond, , ok, us","Edmond, OK, USA","OK",-97.4780954,35.6528323
