"place_string","address_google","status","lat","long"
"maryville, , tn, us","Maryville, TN, USA","OK",-83.9704593,35.7564719
"valley mills , near, tx, us","Valley Mills, TX 76689, USA","OK",-97.472238,31.6593282
"sitka, , ak, us","Sitka, AK, USA","OK",-135.33,57.0530556
"farmville, , nc, us","Farmville, NC 27828, USA","OK",-77.5852496,35.5954381
"los altos, , ca, us","Los Altos, CA, USA","OK",-122.1141298,37.3852183
"janesville, , wi, us","Janesville, WI, USA","OK",-89.0187222,42.6827885
"hertfordshire , uk, , gb","Hertfordshire, UK","OK",-0.2376744,51.8097823
"tampa, , fl, us","Tampa, FL, USA","OK",-82.4571776,27.950575
"leirfjord , over, , ","Leirfjord Municipality, Norway","OK",13.0331566,66.0923251
"irving, , tx, us","Irving, TX, USA","OK",-96.9488945,32.8140177
"round rock, , tx, us","Round Rock, TX, USA","OK",-97.678896,30.5082551
"chatsworth, , ca, us","Chatsworth, Los Angeles, CA, USA","OK",-118.61481,34.2506356
"lee&#39s summit , suburb of k.c., mo, ",NA,"REQUEST_DENIED",NA,NA
"edinburgh , uk, , gb","Edinburgh, UK","OK",-3.188267,55.953252
"clovis, , ca, us","Clovis, CA, USA","OK",-119.7029194,36.8252277
"avenal, , ca, us","Avenal, CA, USA","OK",-120.1290272,36.0041223
"howard afb panama  canal, , , ","Howard AFB, Panama","OK",-79.5946655,8.9198516
"columbus city, , al, us","Columbus City, AL 35976, USA","OK",-86.233315,34.460644
"asheville, , nc, us","Asheville, NC, USA","OK",-82.5514869,35.5950581
"whatcom county, , wa, ","Whatcom County, WA, USA","OK",-121.9718658,48.8787167
"haymarket, , va, us","Haymarket, VA 20169, USA","OK",-77.6363806,38.8120591
"san antonio, , tx, us","San Antonio, TX, USA","OK",-98.4936282,29.4241219
"orlando, , fl, us","Orlando, FL, USA","OK",-81.3792365,28.5383355
"shepard afb, wichita falls, tx, ","1810 J Ave, Sheppard AFB, TX 76311, USA","OK",-98.510735,33.9685715
"danbury  , near; carmel vor, ct, us","Danbury, CT, USA","OK",-73.4540111,41.394817
"fontana, , ca, us","Fontana, CA, USA","OK",-117.435048,34.0922335
"fontana, , ca, us","Fontana, CA, USA","OK",-117.435048,34.0922335
"clinton, maroa , il, ","Maroa, IL 61756, USA","OK",-88.957026,40.0364257
"cannis city, , fl, ","411 E 23rd St Suite C, Panama City, FL 32405, USA","OK",-85.6535573,30.1900063
"howell, , mi, us","Howell, MI, USA","OK",-83.9293952,42.6072552
"grain valley, , mo, us","Grain Valley, MO, USA","OK",-94.198558,39.0150069
"jefferson city, , mo, us","Jefferson City, MO, USA","OK",-92.1735164,38.5767017
"gainesville, , fl, us","Gainesville, FL, USA","OK",-82.3248262,29.6516344
"vienna, , va, us","Vienna, VA 22180, USA","OK",-77.2652604,38.9012225
"fairmont, , wv, us","Fairmont, WV 26554, USA","OK",-80.1425781,39.4850848
"jackson, , tn, us","Jackson, TN, USA","OK",-88.8139469,35.6145169
"spokane, , wa, us","Spokane, WA, USA","OK",-117.4260465,47.6587802
"cotati, , ca, us","Cotati, CA, USA","OK",-122.7096666,38.3293416
"san felipe , driving south to, , ","San Felipe, Baja California, Mexico","OK",-114.8407776,31.0250709
"wethersfield, , ct, us","Wethersfield, CT, USA","OK",-72.6596244,41.7063537
"houston, , tx, us","Houston, TX, USA","OK",-95.3698028,29.7604267
"evansville, , in, us","Evansville, IN, USA","OK",-87.5710898,37.9715592
"sewickly, , pa, ","Sewickley, PA 15143, USA","OK",-80.1844243,40.5364846
"kalamazoo, , mi, us","Kalamazoo, MI, USA","OK",-85.5872286,42.2917069
"san tan valley, , az, ","San Tan Valley, AZ, USA","OK",-111.5468301,33.177294
"woodinville, , wa, us","Woodinville, WA, USA","OK",-122.1634581,47.7542651
"buena vista, , co, us","Buena Vista, CO 81211, USA","OK",-106.1311288,38.8422178
"miami, , fl, us","Miami, FL, USA","OK",-80.1917902,25.7616798
"bossier parish , southern, la, ","3250 Shed Rd Suite 300, Bossier City, LA 71111, USA","OK",-93.6997552,32.538356
"san diego, , ca, us","San Diego, CA, USA","OK",-117.1610838,32.715738
"iron river , 17 miles west of, mi, us","Iron River, MI 49935, USA","OK",-88.6423544,46.0927322
"oakton, , va, us","Oakton, VA, USA","OK",-77.3008172,38.8809451
