"place_string","address_google","status","lat","long"
"germantown, , tn, us","Germantown, TN, USA","OK",-89.8100858,35.0867577
"portland, , or, us","Portland, OR, USA","OK",-122.6750261,45.5051064
"los angeles, , ca, us","Los Angeles, CA, USA","OK",-118.2436849,34.0522342
"latrobe, , pa, us","Latrobe, PA 15650, USA","OK",-79.3794811,40.3211808
"ventura, , ca, us","Ventura, CA, USA","OK",-119.2945199,34.2804923
"bellevue, , wa, us","Bellevue, WA, USA","OK",-122.2015159,47.6101497
"page , lake powell, az, us","Page, AZ 86040, USA","OK",-111.4558333,36.9147222
"atlanta , south side of&#44 forest park, ga, us",NA,"REQUEST_DENIED",NA,NA
"boynton beach, , fl, us","Boynton Beach, FL, USA","OK",-80.0905465,26.5317866
"royal palm beach, , fl, us","Royal Palm Beach, FL, USA","OK",-80.2306019,26.7083984
"seattle, , wa, us","Seattle, WA, USA","OK",-122.3320708,47.6062095
"vancouver , canada, bc, ca","Vancouver, BC, Canada","OK",-123.1207375,49.2827291
"mckinney, , tx, us","McKinney, TX, USA","OK",-96.6389342,33.1983388
"regina , canada, sa, ca","Regina, SK, Canada","OK",-104.6188943,50.4452112
"san antonio, , tx, us","San Antonio, TX, USA","OK",-98.4936282,29.4241219
"houston, , tx, us","Houston, TX, USA","OK",-95.3698028,29.7604267
"sarasota, , fl, us","Sarasota, FL, USA","OK",-82.5306527,27.3364347
"pilot mountain , near, nc, us","Pilot Mountain, NC 27041, USA","OK",-80.4695023,36.3865267
"bedford, , in, us","Bedford, IN 47421, USA","OK",-86.4872149,38.8611619
"kotzebue, , ak, us","Kotzebue, AK 99752, USA","OK",-162.5966666,66.8983333
"manchester , uk, , gb","Manchester, UK","OK",-2.2426305,53.4807593
"gisborne , new zealand, , ","Gisborne, New Zealand","OK",178.017649,-38.662334
"memphis, , in, us","Memphis, TN, USA","OK",-90.0489801,35.1495343
"purlear, , nc, us","Purlear, NC 28665, USA","OK",-81.2845893,36.1816823
"salem, , or, us","Salem, OR, USA","OK",-123.0350963,44.9428975
"route 80 w , between ex 25 and 24, pa, ","PA-24, Pennsylvania, USA","OK",-76.621686,39.9098398
"marion, , ar, us","Marion, AR 72364, USA","OK",-90.1964835,35.2145336
"everett, , wa, us","Everett, WA, USA","OK",-122.2020795,47.9789848
"blountville, , tn, us","Blountville, TN 37617, USA","OK",-82.326806,36.5331586
"kingsport, , tn, us","Kingsport, TN, USA","OK",-82.5618186,36.548434
"fair oaks, , ca, us","Fair Oaks, CA, USA","OK",-121.2721718,38.6446264
"bedford, , tx, us","Bedford, TX, USA","OK",-97.1430671,32.844017
"alexandria, , in, us","Alexandria, IN 46001, USA","OK",-85.675809,40.2628184
"watersmeet, , mi, us","Watersmeet, MI 49969, USA","OK",-89.1783221,46.2679475
"modesto, , ca, us","Modesto, CA, USA","OK",-120.9968782,37.6390972
"knoxville, , tn, us","Knoxville, TN, USA","OK",-83.9207392,35.9606384
