"place_string","address_google","status","lat","long"
"bolingbrook, , il, us","Bolingbrook, IL, USA","OK",-88.0683955,41.6986416
"cyril, , ok, us","Cyril, OK 73029, USA","OK",-98.2006044,34.8964555
"mesa, , az, us","Mesa, AZ, USA","OK",-111.8314724,33.4151843
"revere, , ma, us","Revere, MA, USA","OK",-71.0119948,42.4084302
"seattle, , wa, us","Seattle, WA, USA","OK",-122.3320708,47.6062095
"santa fe, , nm, us","Santa Fe, NM, USA","OK",-105.937799,35.6869752
"arlington, , ma, us","Arlington, MA, USA","OK",-71.1564729,42.4153925
"fairhaven, , ma, us","Fairhaven, MA 02719, USA","OK",-70.9036487,41.6376043
"shingle springs, , ca, us","Shingle Springs, CA 95682, USA","OK",-120.9359987,38.6691362
"colon, , mi, us","Colon, MI 49040, USA","OK",-85.3249817,41.9583822
"darien, , il, us","Darien, IL, USA","OK",-87.9737943,41.7483483
"yukon , canada, yk, ","Yukon, Canada","OK",-135,64.2823274
"hellertown, , pa, us","Hellertown, PA, USA","OK",-75.3407346,40.5795437
"schenectady, , ny, us","Schenectady, NY, USA","OK",-73.9395687,42.8142432
"tallahassee, , fl, us","Tallahassee, FL, USA","OK",-84.2807329,30.4382559
"reno, , nv, us","Reno, NV, USA","OK",-119.8138027,39.5296329
"new york city, , ny, us","New York, NY, USA","OK",-74.0059728,40.7127753
"portland, , or, us","Portland, OR, USA","OK",-122.6750261,45.5051064
"san luis obispo, , ca, us","San Luis Obispo, CA, USA","OK",-120.6596156,35.2827524
"hamilton , canada, on, ca","Hamilton, ON, Canada","OK",-79.8711024,43.2557206
"norton shores, , mi, us","Norton Shores, MI, USA","OK",-86.2639461,43.1689044
"elmont, , ny, us","Elmont, NY, USA","OK",-73.712909,40.700936
"commerce city, , co, us","Commerce City, CO, USA","OK",-104.9338675,39.8083196
"windsor, , mo, us","Windsor, MO 65360, USA","OK",-93.5221545,38.5322401
"mandeville, , la, us","Mandeville, LA, USA","OK",-90.0656311,30.3582506
"irving, grand prairie, tx, ","Irving, TX, USA","OK",-96.9488945,32.8140177
"lake charles, , la, us","Lake Charles, LA, USA","OK",-93.2173758,30.2265949
"richmond, , va, us","Richmond, VA, USA","OK",-77.4360481,37.5407246
"springfield, , oh, us","Springfield, OH, USA","OK",-83.8088171,39.9242266
"orwigsburg, , pa, us","Orwigsburg, PA 17961, USA","OK",-76.1007713,40.654813
"saratoga, , ca, us","Saratoga, CA, USA","OK",-122.0230146,37.2638324
"tupper lake, , ny, us","Tupper Lake, NY 12986, USA","OK",-74.4640575,44.2239488
"sonoran desert, , az, ","Arizona-Sonora Desert Museum, 2021 N Kinney Rd, Tucson, AZ 85743, USA","OK",-111.168174,32.244013
"mebane, , nc, us","Mebane, NC 27302, USA","OK",-79.2669619,36.0959715
"toledo, , oh, us","Toledo, OH, USA","OK",-83.5378674,41.6528052
"alexandria, , va, us","Alexandria, VA, USA","OK",-77.0469214,38.8048355
"alexandria, , va, us","Alexandria, VA, USA","OK",-77.0469214,38.8048355
"germantown, farmersville, oh, ","Farmersville, OH 45325, USA","OK",-84.4291132,39.6795
"london , canada, on, ca","London, ON, Canada","OK",-81.2452768,42.9849233
"little rock , lonoke, ar, us","Lonoke, AR 72086, USA","OK",-91.8998611,34.7839795
"madras, , or, us","Madras, OR 97741, USA","OK",-121.1294872,44.6334544
"waltham, , ma, us","Waltham, MA, USA","OK",-71.2356113,42.3764852
"parma, , oh, us","Parma, OH, USA","OK",-81.7229086,41.4047742
"fair haven, , ny, us","Fair Haven, NY 13156, USA","OK",-76.7021747,43.3164558
"los angeles, , ca, us","Los Angeles, CA, USA","OK",-118.2436849,34.0522342
"los angeles, , ca, us","Los Angeles, CA, USA","OK",-118.2436849,34.0522342
"ewing, , nj, us","Ewing Township, NJ, USA","OK",-74.7909125,40.2599864
"riverdale, , ut, us","Riverdale, UT, USA","OK",-112.0038311,41.1768888
"saratoga, , ny, ","Saratoga, NY, USA","OK",-73.6300729,43.0448483
"anoka, , mn, us","Anoka, MN, USA","OK",-93.3871758,45.1977428
"embden, , me, us","Embden, ME, USA","OK",-69.8667244,44.9181137
"findlay, , oh, us","Findlay, OH 45840, USA","OK",-83.6499321,41.04422
"plano, , tx, us","Plano, TX, USA","OK",-96.6988856,33.0198431
"kure beach, , nc, us","Kure Beach, NC, USA","OK",-77.9072081,33.9968399
"blockhouse , canada, ns, ","Blockhouse, NS B0R, Canada","OK",-64.4202262,44.4491553
"blockhouse , canada, ns, ","Blockhouse, NS B0R, Canada","OK",-64.4202262,44.4491553
"albuquerque, , nm, us","Albuquerque, NM, USA","OK",-106.650422,35.0843859
"baldwin, , ny, us","Baldwin, NY, USA","OK",-73.6119129,40.6686336
"haiku, , hi, us","Haiku, Haiku-Pauwela, HI 96708, USA","OK",-156.3258333,20.9175
"west tisbury, , ma, ","West Tisbury, MA, USA","OK",-70.6744723,41.3812245
"kernersville, , nc, us","Kernersville, NC 27284, USA","OK",-80.0736533,36.1198588
"chapel hill, , nc, us","Chapel Hill, NC, USA","OK",-79.0558445,35.9131996
"west des moines, , ia, us","West Des Moines, IA, USA","OK",-93.7593841,41.5638902
"toronto , canada, on, ca","Toronto, ON, Canada","OK",-79.3831843,43.653226
"clovis, , nm, us","Clovis, NM 88101, USA","OK",-103.2052272,34.4047987
"hesperia, , ca, us","Hesperia, CA, USA","OK",-117.3008784,34.4263886
"dade city, , fl, us","Dade City, FL, USA","OK",-82.1959178,28.3647248
"lake elsinore, , ca, us","Lake Elsinore, CA, USA","OK",-117.3272615,33.6680772
"washington&#44 d.c., , dc, ",NA,"REQUEST_DENIED",NA,NA
"voorhees, , nj, us","Voorhees Township, NJ 08043, USA","OK",-74.961517,39.8519447
"sanford, midland, mi, ","Sanford, MI 48657, USA","OK",-84.3805544,43.6728053
"houston, , tx, us","Houston, TX, USA","OK",-95.3698028,29.7604267
"nodaway county , sw ia, mo, us","Nodaway County, MO, USA","OK",-94.8105955,40.2907281
"johnson city, , tn, us","Johnson City, TN, USA","OK",-82.3534727,36.3134397
"boise, , id, us","Boise, ID, USA","OK",-116.2023137,43.6150186
"newtown square, , pa, us","Newtown Square, PA 19073, USA","OK",-75.4007058,39.9868904
"new york city, , ny, us","New York, NY, USA","OK",-74.0059728,40.7127753
"vancouver , canada, bc, ca","Vancouver, BC, Canada","OK",-123.1207375,49.2827291
"tucson, , az, us","Tucson, AZ, USA","OK",-110.9747108,32.2226066
"austin, , tx, us","Austin, TX, USA","OK",-97.7430608,30.267153
"agoura hills, , ca, us","Agoura Hills, CA, USA","OK",-118.7616764,34.1533395
"studio city, , ca, us","Studio City, Los Angeles, CA, USA","OK",-118.3870991,34.1395597
"la crescenta, , ca, us","La Crescenta-Montrose, CA, USA","OK",-118.2351192,34.228754
"scottdale, , pa, us","Scottdale, PA 15683, USA","OK",-79.5869834,40.1003506
"hillsboro, , oh, us","Hillsboro, OH 45133, USA","OK",-83.611587,39.2022866
"new holland, , oh, us","New Holland, OH 43145, USA","OK",-83.2568582,39.5539511
"cabot, , ar, us","Cabot, AR, USA","OK",-92.0165336,34.974532
"medford, , or, us","Medford, OR, USA","OK",-122.8755949,42.3265152
"moberly lake , canada, bc, ca","Moberly Lake, British Columbia V0C, Canada","OK",-121.7888866,55.8233319
"wheeling, , wv, us","Wheeling, WV 26003, USA","OK",-80.7209149,40.0639616
"farmers branch, dallas, tx, ","Farmers Branch, TX, USA","OK",-96.8961151,32.9265137
"las vegas , approx 200 mi north of, nv, us","Las Vegas, NV, USA","OK",-115.1398296,36.1699412
"manchester , uk, , ","Manchester, UK","OK",-2.2426305,53.4807593
"waussau, , fl, ","Wausau, FL, USA","OK",-85.5888182,30.6321375
"burbank, , ca, us","Burbank, CA, USA","OK",-118.3089661,34.1808392
"west chester, , oh, us","West Chester Township, OH, USA","OK",-84.4172666,39.3321262
"paysayten wilderness, , wa, ","Pasayten Wilderness, Wenatchee, WA 98801, USA","OK",-120.5621193,48.8150877
"vancouver, , wa, us","Vancouver, WA, USA","OK",-122.6760886,45.6257379
"mesa, , az, us","Mesa, AZ, USA","OK",-111.8314724,33.4151843
"chandler, , az, us","Chandler, AZ, USA","OK",-111.8412502,33.3061605
"edmond, , ok, us","Edmond, OK, USA","OK",-97.4780954,35.6528323
